gap_hours,iuu_caught,spherical_distances,eez_check,exact _name new from diff Oceans,gap_x_distance,score,gear type
12.41666667,0,26.51340059,1,Celtic Sea,329.2080574,91,set_longlines
12.05,0,179.5602349,1,Celtic Sea,2163.700831,91,set_longlines
28.56666667,0,421.7399454,1,North Atlantic Ocean,12047.70444,94,set_longlines
13,0,16.21593403,1,North Atlantic Ocean,210.8071424,89,set_longlines
12.16666667,0,15.1041622,1,Celtic Sea,183.7673068,94,set_longlines
18.38333333,0,234.9285069,1,North Atlantic Ocean,4318.769051,91,set_gillnets
12.05,0,217.539834,1,North Atlantic Ocean,2621.355,98,set_longlines
13.26666667,0,198.8518964,1,North Atlantic Ocean,2638.101826,94,fixed_gear
15.21666667,0,124.8317502,1,North Atlantic Ocean,1899.523133,94,set_gillnets
45.01666667,0,36.94680903,1,North Atlantic Ocean,1663.222187,94,set_longlines
16.35,0,8.143210869,1,North Atlantic Ocean,133.1414977,98,set_longlines
14.18333333,0,16.43435633,1,North Atlantic Ocean,233.0939539,94,set_gillnets
14.3,0,5.472138537,1,North Atlantic Ocean,78.25158108,94,set_gillnets
17.56666667,0,284.4346484,1,North Atlantic Ocean,4996.568658,98,set_longlines
17.83333333,0,341.5731063,1,North Atlantic Ocean,6091.387061,89,fishing
13.36666667,0,11.73567422,1,Barentsz Sea,156.8668454,94,set_gillnets
13.06666667,0,12.66408419,0,Norwegian Sea,165.4773668,94,other_purse_seines
14.31666667,0,25.6391631,1,Barentsz Sea,367.0673518,88,fixed_gear
29.66666667,0,63.43941858,1,Barentsz Sea,1882.036085,94,fishing
42.56666667,0,104.582155,1,Barentsz Sea,4451.713732,94,fishing
17.56666667,0,49.75784498,1,Barentsz Sea,874.079477,98,fishing
14.88333333,0,354.0565102,1,Norwegian Sea,5269.541059,98,fishing
54.05,0,374.999481,1,Barentsz Sea,20268.72195,98,set_longlines
36.65,0,617.1823066,1,North Atlantic Ocean,22619.73154,98,set_longlines
16.73333333,0,32.92473065,1,Barentsz Sea,550.9404928,98,set_longlines
13.45,0,21.92257344,1,Barentsz Sea,294.8586128,98,set_longlines
149.45,0,2207.383604,1,North Atlantic Ocean,329893.4796,98,fishing
12.86666667,0,245.3588799,1,Norwegian Sea,3156.950922,98,set_longlines
18.65,0,1.822202822,0,South Atlantic Ocean,33.98408263,98,set_longlines
23.3,0,42.27134146,0,South Atlantic Ocean,984.922256,98,set_longlines
15.96666667,0,22.60670309,1,Sea of Okhotsk,360.9536927,98,set_longlines
16.61666667,0,230.0807486,1,Japan Sea,3823.175107,94,set_longlines
14.3,0,5.618708214,1,Sea of Okhotsk,80.34752746,94,fishing
162.0833333,0,1156.154028,0,South Pacific Ocean,187393.2987,94,set_longlines
318.3,0,19.95022565,1,Sea of Okhotsk,6350.156824,98,fixed_gear
14.03333333,0,19.94844086,1,Sea of Okhotsk,279.94312,98,fixed_gear
31.28333333,0,8.317518509,0,North Pacific Ocean,260.199704,94,set_longlines
18.65,0,5.869477008,1,Barentsz Sea,109.4657462,94,trawlers
