mmsi,score,flag,gear type,vessel type
601770000,91.84959,ZAF,pole_and_line,Fishing
627691000,91.84959,GHA,pole_and_line,Fishing
627694000,94.54137,GHA,pole_and_line,Fishing
627762000,94.54137,GHA,pole_and_line,Fishing
631720000,94.54137,GNQ,fishing,Fishing
635218000,98.627975,ATF,set_longlines,Fishing
645079000,91.84959,MUS,fishing,Fishing
645388000,94.54137,MUS,set_longlines,Fishing
645503000,89.839066,MUS,set_longlines,Fishing
659300000,98.627975,NAM,fishing,Fishing
659388000,98.627975,NAM,fishing,Fishing
665111130,98.627975,SHN,set_longlines,Fishing
710115699,94.54137,BRA,set_longlines,Fishing
150150254,94.54137,other,fishing,Fishing
204812000,94.54137,PRT,pole_and_line,Fishing
204836000,91.84959,PRT,pole_and_line,Fishing
224021580,91.84959,ESP,other_purse_seines,Fishing
224082460,89.839066,ESP,set_gillnets,Fishing
224098930,89.839066,ESP,fishing,Fishing
225341000,94.54137,ESP,set_longlines,Fishing
225381000,91.84959,ESP,set_longlines,Fishing
225382000,98.627975,ESP,fixed_gear,Fishing
227385000,91.84959,FRA,set_longlines,Fishing
227408000,94.54137,FRA,set_longlines,Fishing
227512000,94.54137,FRA,fixed_gear,Fishing
227513000,98.627975,FRA,set_gillnets,Fishing
227570000,91.84959,FRA,set_gillnets,Fishing
228168600,91.84959,FRA,set_gillnets,Fishing
247146630,94.54137,ITA,fishing,Fishing
257250320,94.54137,NOR,set_longlines,Fishing
258138000,91.84959,NOR,other_purse_seines,Fishing
258319000,89.839066,NOR,set_longlines,Fishing
259565000,94.54137,NOR,set_longlines,Fishing
273345620,94.54137,RUS,fishing,Fishing
273352930,94.54137,RUS,set_longlines,Fishing
273358420,94.54137,RUS,set_longlines,Fishing
273373190,91.84959,RUS,pots_and_traps,Fishing
273415200,94.54137,RUS,set_longlines,Fishing
273417010,98.627975,RUS,set_longlines,Fishing
273567010,94.54137,RUS,fishing,Fishing
275453000,98.627975,LVA,fixed_gear,Fishing
303457000,94.54137,USA,pots_and_traps,Fishing
316003050,98.627975,CAN,set_longlines,Fishing
316004180,89.839066,CAN,fishing,Fishing
316004288,94.54137,CAN,fishing,Fishing
316036023,98.627975,CAN,set_gillnets,Fishing
338184000,98.627975,USA,set_longlines,Fishing
361000800,98.627975,SPM,fishing,Fishing
367125630,94.54137,USA,fishing,Fishing
367139130,91.84959,USA,fishing,Fishing
367142080,94.54137,USA,pots_and_traps,Fishing
367161650,94.54137,USA,fishing,Fishing
367463190,91.84959,USA,pots_and_traps,Fishing
367528690,94.54137,USA,set_longlines,Fishing
367560870,91.84959,USA,fishing,Fishing
367615000,98.627975,USA,set_longlines,Fishing
367799370,94.54137,USA,set_longlines,Fishing
368370000,94.54137,USA,pole_and_line,Fishing
412320032,86.89728,CHN,fishing,Fishing
412329438,89.839066,CHN,fishing,Fishing
412331688,84.75116,CHN,fishing,Fishing
412331689,88.2337,CHN,fishing,Fishing
412440371,89.839066,CHN,fishing,Fishing
416002474,88.2337,TWN,set_longlines,Fishing
441667000,98.627975,KOR,set_longlines,Fishing
503013330,91.84959,AUS,set_longlines,Fishing
503016710,94.54137,AUS,fishing,Fishing
601426000,91.84959,ZAF,set_longlines,Fishing
601706000,94.54137,ZAF,set_longlines,Fishing
618000500,98.627975,ATF,set_longlines,Fishing
635221000,98.627975,ATF,set_longlines,Fishing
645491000,98.627975,MUS,set_longlines,Fishing
655195836,98.627975,MWI,set_longlines,Fishing
663000123,98.627975,SEN,fishing,Fishing
701006637,94.54137,ARG,fixed_gear,Fishing
710000176,98.627975,BRA,fishing,Fishing
775993033,98.627975,VEN,set_longlines,Fishing
176800000,88.2337,other,set_longlines,Fishing
204858000,91.84959,PRT,pole_and_line,Fishing
224051160,89.839066,ESP,fishing,Fishing
224246000,94.54137,ESP,set_longlines,Fishing
224268000,91.84959,ESP,set_longlines,Fishing
224385000,94.54137,ESP,set_longlines,Fishing
225988373,98.627975,ESP,set_longlines,Fishing
227389000,94.54137,FRA,set_longlines,Fishing
227412000,94.54137,FRA,set_gillnets,Fishing
227926000,91.84959,FRA,fixed_gear,Fishing
228195800,94.54137,FRA,set_longlines,Fishing
228339000,94.54137,FRA,set_longlines,Fishing
231089000,98.627975,FRO,set_longlines,Fishing
232006820,98.627975,GBR,fishing,Fishing
235001332,91.84959,GBR,drifting_longlines,Fishing
235099244,91.84959,GBR,set_gillnets,Fishing
255505000,98.627975,PRT,pole_and_line,Fishing
258483000,94.54137,NOR,set_longlines,Fishing
258637000,98.627975,NOR,other_purse_seines,Fishing
259236000,98.627975,NOR,fishing,Fishing
259616000,94.54137,NOR,set_longlines,Fishing
273312460,98.627975,RUS,set_longlines,Fishing
273357560,94.54137,RUS,fixed_gear,Fishing
273619100,94.54137,RUS,fishing,Fishing
273824600,98.627975,RUS,fishing,Fishing
273846610,94.54137,RUS,fishing,Fishing
273898200,89.839066,RUS,fishing,Fishing
273899600,94.54137,RUS,fishing,Fishing
303462000,98.627975,USA,set_longlines,Fishing
316003768,98.627975,CAN,fishing,Fishing
316012240,89.839066,CAN,fishing,Fishing
338107872,98.627975,USA,purse_seines,Fishing
347002000,91.84959,MTQ,fishing,Fishing
366082000,94.54137,USA,fixed_gear,Fishing
366182680,94.54137,USA,pots_and_traps,Fishing
366230550,98.627975,USA,pots_and_traps,Fishing
367353430,91.84959,USA,fishing,Fishing
367460660,94.54137,USA,set_longlines,Fishing
367466760,94.54137,USA,trollers,Fishing
367522060,98.627975,USA,pole_and_line,Fishing
367669550,98.627975,USA,set_longlines,Fishing
367674280,98.627975,USA,fixed_gear,Fishing
367780770,98.627975,USA,fishing,Fishing
368054320,98.627975,USA,pots_and_traps,Fishing
368466000,94.54137,USA,pots_and_traps,Fishing
412110175,84.75116,CHN,fishing,Fishing
412209008,94.54137,CHN,fishing,Fishing
412329678,91.84959,CHN,fishing,Fishing
412440056,88.2337,CHN,fishing,Fishing
412698710,94.54137,CHN,pole_and_line,Fishing
