vessel_class,gap_hours,iuu_caught,spherical_distances,eez_check,Ocean List New whose false were in OG
other,15.45,0,173.6375047,1,pacific
other,24.88333333,0,20.91987197,1,pacific
other,88.36666667,0,2.986085048,1,pacific
other,48.43333333,0,89.77466532,1,pacific
other,23.13333333,0,23.94905233,0,pacific
other,15.48333333,0,12.25298871,1,pacific
other,36.25,0,391.7570919,0,pacific
other,313.5333333,0,203.2752193,1,pacific
other,94.56666667,0,1.733681526,1,pacific
other,48.21666667,0,97.818099,1,pacific
other,19.06666667,0,227.4354561,1,pacific
other,2059.35,0,147.0676409,1,pacific
other,1081.783333,0,371.9785714,1,pacific
other,14.86666667,0,8.877409707,0,pacific
other,69.26666667,0,91.13602703,0,pacific
other,12.7,0,97.91551319,1,pacific
other,14.83333333,0,117.7766388,0,pacific
other,15.28333333,0,44.47013214,1,pacific
other,36.51666667,0,25.2334472,1,atlantic
other,12.4,0,4.453359785,1,pacific
other,52.65,0,672.4501387,1,pacific
other,15.11666667,0,13.77285671,0,atlantic
other,45.41666667,0,92.40232047,0,atlantic
other,13.98333333,0,5.877058663,0,atlantic
other,12.85,0,11.81359916,0,atlantic
other,12.88333333,0,219.1679269,0,atlantic
other,15.71666667,0,23.27829777,0,atlantic
other,12.53333333,0,39.26349515,0,atlantic
other,12.45,0,11.40450733,0,atlantic
other,13.66666667,0,7.075646758,0,pacific
other,13.11666667,0,8.634306861,0,pacific
other,12.25,0,30.16489183,0,pacific
other,96.73333333,0,1443.300452,0,pacific
other,67.66666667,0,21.42954095,0,pacific
other,18.1,0,81.22811702,0,pacific
other,312.8166667,0,1565.772141,1,pacific
other,31.51666667,0,518.5480427,0,pacific
other,15.11666667,0,234.921053,0,pacific
other,12.71666667,0,106.8604533,0,pacific
other,13.96666667,0,235.8600439,0,pacific
other,28.36666667,0,124.6428685,1,pacific
other,17.8,0,299.0599375,0,pacific
other,13.21666667,0,28.63850449,0,pacific
other,12.21666667,0,46.6144408,0,pacific
other,12.9,0,122.1337129,0,pacific
other,58.45,0,25.20946558,1,southern
other,25.66666667,0,51.13558263,1,atlantic
other,105.4333333,0,1659.763582,1,southern
other,291.5,0,4175.829113,0,pacific
other,31.31666667,0,88.10015481,0,atlantic
other,65.76666667,0,15.799128,0,atlantic
other,207.0666667,0,164.9407258,1,pacific
other,116.1166667,0,70.50875412,1,indian
other,16.95,0,12.32148693,1,indian
other,136.6166667,0,41.40299199,1,indian
other,154.0833333,0,78.86778714,1,indian
other,147.1,0,378.7724593,1,indian
other,37.55,0,41.39810744,1,indian
other,112.9166667,0,244.3400364,1,indian
other,14.81666667,0,1.380811176,1,indian
other,12.13333333,0,4.877406414,1,indian
other,1626.433333,0,210.3100879,1,indian
other,20.38333333,0,5.57274795,1,pacific
other,67.58333333,0,17.57781497,0,southern
other,34.58333333,0,18.15945275,0,southern
other,66.98333333,0,14.60360421,1,southern
other,47.91666667,0,16.56047182,1,pacific
other,122.5333333,0,649.5581976,0,indian
other,30.01666667,0,107.0116525,0,indian
other,15.6,0,27.38834115,1,atlantic
other,18.21666667,0,137.7420186,1,atlantic
other,12.61666667,0,4.163999691,1,atlantic
other,31.18333333,0,344.4150315,1,atlantic
other,169.1,0,307.2775446,1,atlantic
other,31.65,0,21.75229065,1,atlantic
other,13.45,0,12.56864716,1,atlantic
other,12.96666667,0,21.49702425,1,atlantic
other,19.2,0,11.61905687,1,atlantic
other,72.13333333,0,285.1338639,1,atlantic
other,16.98333333,0,27.03022555,1,atlantic
other,112.15,0,138.2756343,1,atlantic
other,30.48333333,0,96.44014272,1,atlantic
other,14.66666667,0,94.82022221,1,atlantic
other,30.25,0,321.3315546,0,atlantic
other,13.61666667,0,104.4726364,1,atlantic
