,exact_name
586,Bering Sea
587,Bering Sea
588,South Pacific Ocean
589,South Pacific Ocean
590,North Pacific Ocean
591,Bering Sea
592,Bering Sea
593,Bering Sea
594,Bering Sea
595,Bering Sea
596,Bering Sea
597,North Pacific Ocean
598,Bering Sea
599,Bering Sea
600,North Pacific Ocean
601,North Pacific Ocean
602,Bering Sea
603,Bering Sea
604,Bering Sea
605,Bering Sea
606,South Pacific Ocean
607,South Pacific Ocean
608,Bering Sea
609,Bering Sea
610,Bering Sea
611,North Pacific Ocean
612,North Pacific Ocean
613,North Pacific Ocean
614,North Pacific Ocean
615,Bering Sea
616,Bering Sea
617,Bering Sea
618,Bering Sea
619,Bering Sea
620,Bering Sea
621,North Pacific Ocean
622,Bering Sea
623,Bering Sea
624,Bering Sea
625,Bering Sea
626,Bering Sea
627,Bering Sea
628,Bering Sea
629,North Pacific Ocean
630,Bering Sea
631,Bering Sea
632,North Pacific Ocean
633,South Pacific Ocean
634,Bering Sea
635,Bering Sea
636,North Pacific Ocean
637,North Pacific Ocean
638,North Pacific Ocean
639,North Pacific Ocean
640,South Pacific Ocean
641,South Pacific Ocean
642,South Pacific Ocean
643,Bering Sea
644,North Pacific Ocean
645,Bering Sea
646,Bering Sea
647,Bering Sea
648,Bering Sea
649,Bering Sea
650,Bering Sea
651,South Pacific Ocean
652,South Pacific Ocean
653,South Pacific Ocean
654,Bering Sea
655,North Pacific Ocean
656,South Pacific Ocean
657,North Pacific Ocean
658,North Pacific Ocean
659,North Pacific Ocean
660,Bering Sea
661,South Pacific Ocean
662,Bering Sea
663,Bering Sea
664,North Pacific Ocean
665,Bering Sea
666,Bering Sea
667,Bering Sea
668,North Pacific Ocean
669,Bering Sea
670,Bering Sea
671,North Pacific Ocean
672,Bering Sea
673,North Pacific Ocean
674,Bering Sea
675,North Pacific Ocean
676,Bering Sea
677,Bering Sea
678,South Pacific Ocean
679,Bering Sea
680,Bering Sea
681,North Pacific Ocean
682,North Pacific Ocean
683,Bering Sea
684,South Pacific Ocean
685,Bering Sea
686,Bering Sea
687,North Pacific Ocean
688,Bering Sea
689,Bering Sea
690,North Pacific Ocean
691,South Pacific Ocean
692,Bering Sea
693,Bering Sea
694,North Pacific Ocean
695,Bering Sea
696,Bering Sea
697,North Pacific Ocean
698,Bering Sea
699,North Pacific Ocean
700,Bering Sea
701,Bering Sea
702,Bering Sea
703,Bering Sea
704,South Pacific Ocean
705,Bering Sea
706,Bering Sea
707,Bering Sea
708,Bering Sea
709,North Pacific Ocean
710,Bering Sea
711,North Pacific Ocean
712,Bering Sea
713,North Pacific Ocean
714,Bering Sea
715,Bering Sea
716,Bering Sea
717,Bering Sea
718,Bering Sea
719,North Pacific Ocean
720,Bering Sea
721,North Pacific Ocean
722,North Pacific Ocean
723,Bering Sea
724,Bering Sea
725,North Pacific Ocean
726,Bering Sea
727,Bering Sea
728,North Pacific Ocean
729,Bering Sea
730,South Pacific Ocean
731,Bering Sea
732,Bering Sea
733,Bering Sea
734,Bering Sea
735,Bering Sea
736,South Pacific Ocean
737,South Pacific Ocean
738,North Pacific Ocean
739,North Pacific Ocean
740,Bering Sea
741,South Pacific Ocean
742,Bering Sea
743,Bering Sea
744,South Pacific Ocean
745,Bering Sea
746,Bering Sea
747,Bering Sea
748,Bering Sea
749,South Pacific Ocean
750,North Pacific Ocean
751,Bering Sea
752,Bering Sea
753,Bering Sea
