,oceans_list
1176,Pacific
1177,Pacific
1178,Pacific
1179,Pacific
1180,Pacific
1181,Pacific
1182,Pacific
1183,Pacific
1184,Atlantic
1185,Pacific
1186,Atlantic
1187,Pacific
1188,Atlantic
1189,Atlantic
1190,False
1191,Indian
1192,Indian
1193,Indian
1194,Indian
1195,Indian
1196,Indian
1197,False
1198,Pacific
1199,Indian
1200,Indian
1201,Atlantic
1202,Atlantic
1203,Atlantic
1204,Atlantic
1205,Atlantic
1206,Atlantic
1207,Atlantic
1208,Atlantic
1209,Atlantic
1210,Atlantic
1211,Atlantic
1212,Atlantic
1213,Indian
1214,Indian
1215,Indian
1216,Atlantic
1217,Atlantic
1218,Pacific
1219,Atlantic
1220,Pacific
1221,Pacific
1222,Atlantic
1223,Atlantic
1224,Atlantic
1225,Atlantic
1226,Atlantic
1227,Atlantic
1228,Atlantic
1229,Atlantic
1230,Atlantic
1231,Atlantic
1232,Atlantic
1233,Atlantic
1234,Atlantic
1235,Atlantic
1236,Atlantic
1237,Atlantic
1238,Atlantic
1239,Atlantic
1240,Indian
1241,Atlantic
1242,Atlantic
1243,Atlantic
1244,Atlantic
1245,Atlantic
1246,Atlantic
1247,Atlantic
1248,Atlantic
1249,Atlantic
1250,Atlantic
1251,Atlantic
1252,Atlantic
1253,Atlantic
1254,Atlantic
1255,Atlantic
1256,Atlantic
1257,False
1258,False
1259,Atlantic
1260,Pacific
1261,Pacific
1262,Pacific
1263,Pacific
1264,Pacific
1265,Pacific
1266,Pacific
1267,Pacific
1268,Pacific
1269,Pacific
1270,Pacific
1271,Pacific
1272,Pacific
1273,Pacific
1274,Atlantic
1275,Atlantic
1276,Atlantic
1277,Atlantic
1278,Pacific
1279,Atlantic
1280,Atlantic
1281,Atlantic
1282,False
1283,Pacific
1284,False
1285,False
1286,Atlantic
1287,Pacific
1288,Pacific
1289,Pacific
1290,Pacific
1291,Pacific
1292,Pacific
1293,Pacific
1294,Atlantic
1295,Pacific
1296,Pacific
1297,False
1298,Pacific
1299,Pacific
1300,Atlantic
1301,Pacific
1302,Pacific
1303,Pacific
1304,Pacific
1305,Pacific
1306,Pacific
1307,Pacific
1308,Pacific
1309,Pacific
1310,Pacific
1311,Pacific
1312,Pacific
1313,False
1314,False
1315,Atlantic
1316,Atlantic
1317,Atlantic
1318,Atlantic
1319,Atlantic
1320,Atlantic
1321,Indian
1322,Pacific
1323,Atlantic
1324,Pacific
1325,Indian
1326,Pacific
1327,Pacific
1328,Pacific
1329,Pacific
1330,Atlantic
1331,Pacific
1332,Pacific
1333,Pacific
1334,Pacific
1335,Pacific
1336,Pacific
1337,Pacific
1338,Pacific
1339,Pacific
1340,Atlantic
1341,Pacific
1342,False
1343,Atlantic
1344,Atlantic
1345,Atlantic
1346,Pacific
1347,False
1348,False
1349,Indian
1350,False
1351,Indian
1352,Indian
1353,Indian
1354,Indian
1355,Indian
1356,False
1357,False
1358,Indian
1359,Indian
1360,Indian
1361,Indian
1362,Indian
1363,Atlantic
1364,Atlantic
1365,Atlantic
1366,Atlantic
1367,Atlantic
1368,Atlantic
1369,Atlantic
1370,Atlantic
1371,Atlantic
1372,Atlantic
1373,Indian
1374,Indian
1375,Indian
1376,Indian
1377,Indian
1378,Indian
1379,Pacific
1380,False
1381,Atlantic
1382,Atlantic
1383,Atlantic
1384,Pacific
1385,Indian
1386,Atlantic
1387,Pacific
1388,Pacific
1389,Atlantic
1390,Atlantic
1391,Atlantic
1392,Atlantic
1393,Atlantic
1394,Atlantic
1395,Atlantic
1396,Atlantic
1397,Atlantic
