,ocean
1416,pacific
1417,pacific
1418,false
1419,pacific
1420,false
1421,pacific
1422,indian
1423,atlantic
1424,pacific
1425,false
1426,false
1427,false
1428,indian
1429,indian
1430,false
1431,false
1432,false
1433,false
1434,false
1435,false
1436,false
1437,false
1438,atlantic
1439,false
1440,pacific
1441,atlantic
1442,false
1443,false
1444,atlantic
1445,indian
1446,false
1447,pacific
1448,pacific
1449,indian
1450,atlantic
1451,indian
1452,false
1453,indian
1454,pacific
1455,atlantic
1456,false
1457,false
1458,false
1459,false
1460,false
1461,false
1462,false
1463,atlantic
1464,indian
1465,indian
1466,false
1467,false
1468,pacific
1469,false
1470,false
1471,indian
1472,indian
1473,false
1474,false
1475,pacific
1476,false
1477,false
1478,false
1479,indian
1480,false
1481,false
1482,atlantic
1483,false
1484,pacific
1485,indian
1486,indian
1487,indian
1488,pacific
1489,false
1490,indian
1491,false
1492,false
1493,indian
1494,pacific
1495,false
1496,indian
1497,false
1498,indian
1499,atlantic
1500,false
1501,false
1502,false
1503,false
1504,false
1505,false
1506,indian
1507,atlantic
1508,atlantic
1509,indian
1510,false
1511,false
1512,indian
1513,indian
1514,false
1515,pacific
1516,indian
1517,false
1518,false
1519,pacific
1520,false
1521,indian
1522,pacific
1523,false
1524,false
1525,indian
1526,indian
1527,pacific
1528,false
1529,indian
1530,false
1531,false
1532,atlantic
1533,atlantic
1534,false
1535,false
1536,indian
1537,atlantic
1538,false
1539,false
1540,false
1541,indian
1542,indian
1543,false
1544,false
1545,false
1546,pacific
1547,false
1548,false
1549,indian
1550,indian
1551,false
1552,pacific
1553,atlantic
1554,indian
1555,pacific
1556,false
1557,false
1558,indian
1559,indian
1560,indian
1561,false
1562,indian
1563,pacific
1564,false
1565,atlantic
1566,false
1567,indian
1568,false
1569,false
1570,false
1571,false
1572,false
1573,indian
1574,atlantic
1575,atlantic
1576,atlantic
1577,false
1578,false
1579,false
1580,pacific
1581,indian
1582,false
1583,pacific
1584,indian
1585,pacific
1586,false
1587,pacific
1588,pacific
1589,pacific
1590,pacific
1591,false
1592,atlantic
1593,false
1594,false
1595,false
1596,pacific
1597,indian
1598,atlantic
1599,pacific
1600,pacific
1601,false
1602,pacific
1603,atlantic
1604,false
1605,false
1606,indian
1607,false
1608,atlantic
1609,false
1610,pacific
1611,indian
1612,indian
1613,false
1614,indian
1615,false
1616,pacific
1617,pacific
1618,pacific
1619,pacific
1620,indian
1621,indian
1622,pacific
1623,atlantic
1624,false
1625,false
1626,false
1627,indian
1628,pacific
1629,pacific
1630,false
1631,indian
1632,indian
1633,pacific
1634,pacific
1635,indian
1636,false
1637,pacific
1638,pacific
1639,false
1640,false
1641,pacific
1642,false
1643,pacific
1644,false
1645,pacific
1646,pacific
1647,pacific
1648,indian
1649,pacific
1650,indian
1651,atlantic
1652,indian
1653,pacific
1654,pacific
1655,pacific
1656,indian
1657,indian
1658,false
1659,pacific
1660,atlantic
1661,indian
1662,false
1663,pacific
1664,false
1665,false
1666,false
1667,indian
1668,pacific
1669,pacific
1670,atlantic
1671,indian
1672,pacific
1673,pacific
1674,pacific
1675,false
1676,atlantic
1677,atlantic
1678,indian
1679,false
1680,false
1681,false
1682,pacific
1683,indian
1684,pacific
1685,indian
1686,indian
1687,atlantic
1688,indian
1689,indian
1690,indian
1691,pacific
1692,pacific
1693,false
1694,indian
1695,false
1696,pacific
1697,false
1698,false
1699,false
1700,indian
1701,indian
1702,pacific
1703,pacific
1704,false
1705,atlantic
1706,indian
1707,indian
1708,pacific
1709,pacific
1710,indian
1711,pacific
1712,false
1713,false
1714,indian
1715,false
1716,false
1717,false
1718,pacific
1719,pacific
1720,pacific
1721,indian
1722,indian
1723,indian
1724,indian
1725,pacific
1726,atlantic
1727,indian
1728,pacific
1729,atlantic
1730,false
1731,pacific
1732,false
1733,pacific
1734,indian
1735,pacific
1736,indian
1737,atlantic
1738,atlantic
1739,atlantic
1740,pacific
1741,indian
1742,false
1743,false
1744,atlantic
1745,atlantic
1746,pacific
1747,pacific
1748,false
1749,pacific
1750,pacific
1751,false
1752,indian
1753,indian
1754,pacific
1755,pacific
1756,indian
1757,pacific
1758,indian
1759,indian
1760,atlantic
1761,indian
1762,indian
1763,pacific
1764,false
1765,false
1766,indian
1767,pacific
1768,pacific
1769,pacific
1770,indian
1771,atlantic
1772,false
1773,indian
1774,indian
1775,pacific
1776,false
1777,indian
1778,indian
1779,indian
1780,false
1781,pacific
1782,pacific
1783,pacific
1784,pacific
1785,indian
1786,indian
1787,indian
1788,pacific
1789,atlantic
1790,pacific
1791,false
1792,false
1793,indian
1794,indian
1795,false
1796,pacific
1797,false
1798,false
1799,pacific
1800,pacific
1801,false
1802,pacific
1803,indian
1804,indian
1805,atlantic
1806,false
1807,pacific
1808,indian
1809,indian
1810,false
1811,pacific
1812,false
1813,indian
1814,indian
1815,atlantic
1816,false
1817,false
1818,false
1819,pacific
1820,pacific
1821,pacific
1822,pacific
1823,pacific
1824,indian
1825,indian
1826,indian
1827,indian
1828,false
1829,indian
1830,indian
1831,pacific
1832,indian
1833,false
1834,pacific
1835,atlantic
1836,indian
1837,false
1838,pacific
1839,indian
1840,atlantic
1841,false
1842,atlantic
1843,false
1844,indian
1845,pacific
1846,pacific
1847,pacific
1848,false
1849,indian
1850,false
1851,false
1852,false
1853,indian
1854,pacific
1855,atlantic
1856,false
1857,false
1858,pacific
1859,pacific
1860,false
1861,pacific
1862,false
1863,indian
1864,indian
1865,atlantic
1866,atlantic
1867,false
1868,false
1869,false
1870,indian
1871,false
1872,false
1873,pacific
1874,pacific
1875,pacific
1876,indian
1877,pacific
1878,indian
1879,false
1880,pacific
1881,pacific
1882,false
1883,indian
1884,atlantic
1885,false
1886,atlantic
1887,pacific
1888,false
1889,false
1890,false
1891,pacific
1892,pacific
1893,indian
1894,atlantic
1895,pacific
1896,indian
1897,indian
1898,false
1899,pacific
1900,pacific
1901,pacific
1902,false
1903,indian
1904,indian
1905,false
1906,pacific
1907,indian
1908,pacific
1909,pacific
1910,atlantic
1911,atlantic
1912,indian
1913,pacific
1914,atlantic
1915,indian
1916,false
1917,indian
1918,indian
1919,pacific
1920,indian
1921,pacific
1922,false
1923,atlantic
1924,pacific
1925,indian
1926,atlantic
1927,false
1928,false
1929,false
1930,false
1931,pacific
1932,pacific
1933,pacific
1934,pacific
1935,indian
1936,pacific
1937,false
1938,indian
1939,atlantic
1940,false
1941,indian
1942,false
1943,atlantic
1944,false
1945,false
1946,false
1947,pacific
1948,pacific
1949,pacific
1950,pacific
1951,pacific
1952,indian
1953,pacific
1954,false
1955,pacific
1956,pacific
1957,atlantic
1958,false
1959,false
1960,false
1961,indian
1962,false
1963,pacific
1964,indian
1965,atlantic
1966,pacific
1967,indian
1968,atlantic
1969,pacific
1970,false
1971,indian
1972,indian
1973,indian
1974,indian
1975,pacific
1976,false
1977,atlantic
1978,atlantic
1979,false
1980,pacific
1981,false
1982,indian
1983,atlantic
1984,pacific
1985,indian
1986,pacific
